# Ranked static MoE experts: layer expert miss_count access_count bytes
# budget_mib=8192 selected=4491 phase=prefill selected_mib=8190.41 trace_avoidable_mib=23241270.70
38 163 3525 3908 2039808
30 197 3521 7481 1900544
22 242 3521 6465 1900544
25 101 3521 5242 1900544
28 166 3521 4381 1900544
1 251 3518 4637 1900544
29 25 3518 3945 1900544
35 160 3516 5498 1900544
13 20 3516 5069 1900544
4 92 3515 4448 1900544
21 194 3514 4306 1900544
38 9 3512 6640 2039808
22 162 3512 4883 1900544
31 37 3512 4434 1900544
22 231 3512 4191 1900544
19 195 3509 5288 1900544
2 221 3508 7171 1900544
12 191 3506 4594 1900544
35 95 3506 4456 1900544
3 121 3506 3990 1900544
3 92 3504 5242 1900544
3 244 3504 4562 1900544
35 85 3503 5607 1900544
2 252 3503 4100 1900544
24 39 3502 7064 1900544
1 81 3501 4916 1900544
3 226 3499 5223 1900544
25 221 3499 3963 1900544
36 142 3497 7181 1900544
2 189 3497 4494 1900544
35 117 3495 4044 1900544
28 149 3494 5551 1900544
27 116 3494 4717 1900544
33 47 3494 4425 1900544
16 14 3494 4006 1900544
29 110 3494 3758 1900544
1 124 3493 6993 1900544
10 24 3493 4936 1900544
29 36 3492 5593 1900544
1 62 3492 5040 1900544
3 31 3490 5243 1900544
32 238 3487 3785 1900544
39 92 3486 7217 2039808
3 230 3486 5787 1900544
24 167 3485 4926 1900544
4 23 3485 4408 1900544
20 99 3484 6327 1900544
3 70 3484 4654 1900544
22 243 3483 9850 1900544
2 179 3483 5552 1900544
0 81 3482 9722 1900544
39 106 3479 3711 2039808
30 63 3478 6326 1900544
19 154 3478 5729 1900544
2 191 3478 4089 1900544
12 106 3477 5578 1900544
24 144 3475 5887 1900544
30 180 3474 5458 1900544
12 101 3473 4665 1900544
9 132 3471 5471 1900544
11 135 3471 4900 1900544
2 146 3471 4334 1900544
19 207 3470 5592 1900544
39 9 3470 4894 2039808
23 114 3470 4776 1900544
29 96 3470 3646 1900544
39 179 3470 3633 2039808
24 124 3469 3744 1900544
36 245 3467 4120 1900544
35 84 3465 11425 1900544
2 107 3465 4826 1900544
27 103 3465 4386 1900544
1 119 3463 5181 1900544
30 199 3463 4704 1900544
15 46 3463 4493 1900544
14 230 3463 4266 1900544
1 95 3462 4612 1900544
15 225 3459 4424 1900544
35 153 3458 4152 1900544
36 159 3457 5572 1900544
34 133 3456 5234 2039808
17 164 3456 4253 1900544
23 209 3455 4742 1900544
3 137 3455 4262 1900544
3 169 3455 3832 1900544
3 20 3454 4883 1900544
1 82 3454 4329 1900544
11 20 3452 4553 1900544
3 158 3452 3744 1900544
27 183 3451 5388 1900544
3 184 3451 3870 1900544
26 211 3450 4017 1900544
5 90 3449 4265 1900544
16 152 3448 6269 1900544
0 111 3448 5409 1900544
26 17 3448 4119 1900544
1 85 3447 6102 1900544
1 49 3446 5810 1900544
27 172 3444 5644 1900544
28 61 3444 4810 1900544
22 163 3443 6032 1900544
4 250 3442 5367 1900544
0 120 3442 5364 1900544
35 27 3442 5097 1900544
3 233 3441 5950 1900544
0 127 3441 5667 1900544
2 84 3441 5381 1900544
32 248 3441 3782 1900544
7 123 3440 7316 1900544
1 26 3440 4163 1900544
0 198 3439 4392 1900544
38 197 3439 4304 2039808
29 172 3439 4110 1900544
15 217 3438 4447 1900544
14 196 3438 3907 1900544
